"filename", "language", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "CSS", "Prisma", "comment", "blank", "total"
"d:\egyhub\egyhub\.eslintrc.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\egyhub\egyhub\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"d:\egyhub\egyhub\app\(auth)\(routes)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"d:\egyhub\egyhub\app\(auth)\(routes)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\egyhub\egyhub\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\egyhub\egyhub\app\(invite)\(route)\invite\[inviteCode]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 13, 56
"d:\egyhub\egyhub\app\(main)\(routes)\servers\[serverId]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\egyhub\egyhub\app\(main)\(routes)\servers\[serverId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"d:\egyhub\egyhub\app\(main)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\egyhub\egyhub\app\(setup)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"d:\egyhub\egyhub\app\api\channels\route.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\egyhub\egyhub\app\api\members\[memberId]\route.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 111
"d:\egyhub\egyhub\app\api\servers\[serverId]\invite-code\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\egyhub\egyhub\app\api\servers\[serverId]\leave\route.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\egyhub\egyhub\app\api\servers\[serverId]\route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 66
"d:\egyhub\egyhub\app\api\servers\route.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 62
"d:\egyhub\egyhub\app\api\uploadthing\core.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 27
"d:\egyhub\egyhub\app\api\uploadthing\route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\egyhub\egyhub\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 21, 82
"d:\egyhub\egyhub\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"d:\egyhub\egyhub\components.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\egyhub\egyhub\components\action-tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\egyhub\egyhub\components\file-uplaod.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 8, 58
"d:\egyhub\egyhub\components\models\create-channel-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 23, 171
"d:\egyhub\egyhub\components\models\create-server-model.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 26, 144
"d:\egyhub\egyhub\components\models\delete-server-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 10, 84
"d:\egyhub\egyhub\components\models\edit-server-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 35, 161
"d:\egyhub\egyhub\components\models\inital-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 0, 1, 27, 147
"d:\egyhub\egyhub\components\models\invite-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 10, 93
"d:\egyhub\egyhub\components\models\leave-server-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 10, 83
"d:\egyhub\egyhub\components\models\members-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 18, 183
"d:\egyhub\egyhub\components\navigation\navigation-action.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 37
"d:\egyhub\egyhub\components\navigation\navigation-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\egyhub\egyhub\components\navigation\navigation-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 60
