Date : 2024-04-27 16:57:28
Directory : d:\egyhub\egyhub
Total : 73 files,  10446 codes, 24 comments, 678 blanks, all 11148 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      6,942 |          0 |          2 |      6,944 |
| TypeScript JSX     |         45 |      2,855 |         15 |        496 |      3,366 |
| TypeScript         |         15 |        375 |          5 |        108 |        488 |
| JavaScript         |          3 |         90 |          2 |          3 |         95 |
| Prisma             |          1 |         68 |          2 |         32 |        102 |
| CSS                |          1 |         61 |          0 |         21 |         82 |
| JSON with Comments |          2 |         30 |          0 |          2 |         32 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |         73 |     10,446 |         24 |        678 |     11,148 |
| . (Files)                                                            |         11 |      7,096 |          5 |         29 |      7,130 |
| app                                                                  |         18 |        591 |          2 |        145 |        738 |
| app (Files)                                                          |          2 |        102 |          0 |         27 |        129 |
| app\(auth)                                                           |          3 |         16 |          0 |          5 |         21 |
| app\(auth) (Files)                                                   |          1 |          8 |          0 |          1 |          9 |
| app\(auth)\(routes)                                                  |          2 |          8 |          0 |          4 |         12 |
| app\(auth)\(routes)\sign-in                                          |          1 |          4 |          0 |          3 |          7 |
| app\(auth)\(routes)\sign-in\[[...sign-in]]                           |          1 |          4 |          0 |          3 |          7 |
| app\(auth)\(routes)\sign-up                                          |          1 |          4 |          0 |          1 |          5 |
| app\(auth)\(routes)\sign-up\[[...sign-up]]                           |          1 |          4 |          0 |          1 |          5 |
| app\(invite)                                                         |          1 |         43 |          0 |         13 |         56 |
| app\(invite)\(route)                                                 |          1 |         43 |          0 |         13 |         56 |
| app\(invite)\(route)\invite                                          |          1 |         43 |          0 |         13 |         56 |
| app\(invite)\(route)\invite\[inviteCode]                             |          1 |         43 |          0 |         13 |         56 |
| app\(main)                                                           |          3 |         86 |          0 |         15 |        101 |
| app\(main) (Files)                                                   |          1 |         19 |          0 |          2 |         21 |
| app\(main)\(routes)                                                  |          2 |         67 |          0 |         13 |         80 |
| app\(main)\(routes)\servers                                          |          2 |         67 |          0 |         13 |         80 |
| app\(main)\(routes)\servers\[serverId]                               |          2 |         67 |          0 |         13 |         80 |
| app\(setup)                                                          |          1 |         21 |          0 |          6 |         27 |
| app\api                                                              |          8 |        323 |          2 |         79 |        404 |
| app\api\channels                                                     |          1 |         41 |          0 |          8 |         49 |
| app\api\members                                                      |          1 |         96 |          0 |         15 |        111 |
| app\api\members\[memberId]                                           |          1 |         96 |          0 |         15 |        111 |
| app\api\servers                                                      |          4 |        164 |          0 |         45 |        209 |
| app\api\servers (Files)                                              |          1 |         43 |          0 |         19 |         62 |
| app\api\servers\[serverId]                                           |          3 |        121 |          0 |         26 |        147 |
| app\api\servers\[serverId] (Files)                                   |          1 |         49 |          0 |         17 |         66 |
| app\api\servers\[serverId]\invite-code                               |          1 |         32 |          0 |          5 |         37 |
| app\api\servers\[serverId]\leave                                     |          1 |         40 |          0 |          4 |         44 |
