"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"d:\egyhub\egyhub\app\(main)\(routes)\servers\[serverId]\channels\[channelId]\page.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 10
"d:\egyhub\egyhub\app\(main)\(routes)\servers\[serverId]\conversations\[memberId]\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 9, 23
"d:\egyhub\egyhub\app\layout.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"d:\egyhub\egyhub\components\chats\chat-header.tsx", "TypeScript JSX", 0, 0, 13, 0, 1, 14
"d:\egyhub\egyhub\components\chats\chat-input.tsx", "TypeScript JSX", 0, 0, 86, 0, 20, 106
"d:\egyhub\egyhub\components\providers\socket-provider.tsx", "TypeScript JSX", 0, 0, 41, 0, 19, 60
"d:\egyhub\egyhub\components\socket-indicator.tsx", "TypeScript JSX", 0, 0, 24, 0, 5, 29
"d:\egyhub\egyhub\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 31, 0, 6, 37
"d:\egyhub\egyhub\hooks\use-model-store.tsx", "TypeScript JSX", 0, 0, 2, 0, 5, 7
"d:\egyhub\egyhub\lib\current-profile-page.ts", "TypeScript", 15, 0, 0, 0, 5, 20
"d:\egyhub\egyhub\package-lock.json", "JSON", 0, -8780, 0, 0, 0, -8780
"d:\egyhub\egyhub\package.json", "JSON", 0, 2, 0, 0, 0, 2
"d:\egyhub\egyhub\pages\api\socket\io.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"d:\egyhub\egyhub\pages\api\socket\messages.ts", "TypeScript", 73, 0, 0, 0, 19, 92
"d:\egyhub\egyhub\types.ts", "TypeScript", 10, 0, 0, 0, 6, 16
"Total", "-", 121, -8778, 225, 0, 100, -8332
